time,data
0,-83.6974292148599
0.025,-83.6974292136549
0.05,-83.6974292124537
0.075,-83.6974292112589
0.1,-83.6974292100721
0.125,-83.6974292088945
0.15,-83.6974292077268
0.175,-83.6974292065698
0.2,-83.6974292053643
0.225,-83.6974292041136
0.25,-83.6974292027644
0.275,-83.6974292013525
0.3,-83.6974291999334
0.325,-83.6974291985787
0.35,-83.6974291973604
0.375,-83.6974291963473
0.4,-83.697429195609
0.425,-83.6974291951975
0.45,-83.6974291951617
0.475,-83.6974291955316
0.5,-83.6974291963415
0.525,-83.6974291976017
0.55,-83.6974291993321
0.575,-83.6974292015258
0.6,-83.6974292041796
0.625,-83.6974292072728
0.65,-83.6974292107947
0.675,-83.6974292147175
0.7,-83.6974292190244
0.725,-83.6974292236838
0.75,-83.6974292286996
0.775,-83.6974292340359
0.8,-83.6974292396605
0.825,-83.6974292455281
0.85,-83.6974292516156
0.875,-83.6974292578787
0.9,-83.6974292642804
0.925,-83.6974292707776
0.95,-83.6974292773497
0.975,-83.6974292839578
1,-83.6974292905724
1.025,-83.6974292971568
1.05,-83.6974293036953
1.075,-83.6974293101547
1.1,-83.6974293165109
1.125,-83.6974293227319
1.15,-83.6974293287969
1.175,-83.6974293346777
1.2,-83.6974293403639
1.225,-83.6974293458295
1.25,-83.6974293510549
1.275,-83.6974293560147
1.3,-83.6974293606922
1.325,-83.697429365066
1.35,-83.6974293691262
1.375,-83.6974293728543
1.4,-83.6974293762373
1.425,-83.6974293792586
1.45,-83.6974293819076
1.475,-83.697429384171
1.5,-83.6974293860401
1.525,-83.6974293875045
1.55,-83.6974293885605
1.575,-83.6974293891997
1.6,-83.6974293894157
1.625,-83.697429389201
1.65,-83.6974293885514
1.675,-83.6974293874616
1.7,-83.6974293859284
1.725,-83.6974293839488
1.75,-83.6974293815209
1.775,-83.6974293786434
1.8,-83.6974293753144
1.825,-83.6974293715342
1.85,-83.6974293673024
1.875,-83.6974293626209
1.9,-83.6974293574906
1.925,-83.6974293519145
1.95,-83.6974293458939
1.975,-83.6974293394328
2,-83.6974293325337
2.025,-83.6974293252015
2.05,-83.6974293174354
2.075,-83.6974293092418
2.1,-83.6974293006246
2.125,-83.6974292915921
2.15,-83.6974292821483
2.175,-83.6974292723018
2.2,-83.697429262058
2.225,-83.6974292514257
2.25,-83.6974292404041
2.275,-83.6974292290031
2.3,-83.6974292172292
2.325,-83.6974292050935
2.35,-83.6974291926023
2.375,-83.6974291797667
2.4,-83.6974291665922
2.425,-83.69742915309
2.45,-83.6974291392661
2.475,-83.6974291251317
2.5,-83.6974291106921
2.525,-83.6974290959581
2.55,-83.6974290809295
2.575,-83.6974290656184
2.6,-83.697429050032
2.625,-83.697429034184
2.65,-83.6974290180811
2.675,-83.6974290017369
2.7,-83.6974289851586
2.725,-83.697428968359
2.75,-83.697428951344
2.775,-83.6974289341258
2.8,-83.6974289167037
2.825,-83.6974288990908
2.85,-83.6974288812949
2.875,-83.6974288633301
2.9,-83.6974288452038
2.925,-83.6974288269296
2.95,-83.6974288085141
2.975,-83.6974287899702
3,-83.6974287713042
3.025,-83.6974287525282
3.05,-83.6974287336477
3.075,-83.6974287146738
3.1,-83.6974286956063
3.125,-83.6974286764573
3.15,-83.6974286572343
3.175,-83.69742863795
3.2,-83.6974286186114
3.225,-83.69742859923
3.25,-83.6974285798125
3.275,-83.6974285603692
3.3,-83.6974285409054
3.325,-83.6974285214305
3.35,-83.6974285019444
3.375,-83.6974284824567
3.4,-83.6974284629739
3.425,-83.6974284435057
3.45,-83.6974284240575
3.475,-83.6974284046382
3.5,-83.6974283852525
3.525,-83.6974283659081
3.55,-83.6974283466085
3.575,-83.6974283273604
3.6,-83.6974283081639
3.625,-83.6974282890257
3.65,-83.6974282699498
3.675,-83.6974282509431
3.7,-83.6974282320089
3.725,-83.6974282131533
3.75,-83.6974281943794
3.775,-83.6974281756922
3.8,-83.6974281570943
3.825,-83.6974281385898
3.85,-83.6974281201809
3.875,-83.6974281018715
3.9,-83.6974280836612
3.925,-83.6974280655543
3.95,-83.6974280475531
3.975,-83.6974280296619
4,-83.6974280118827
4.025,-83.697427994219
4.05,-83.6974279766724
4.075,-83.697427959246
4.1,-83.697427941941
4.125,-83.6974279247599
4.15,-83.697427907704
4.175,-83.6974278907751
4.2,-83.6974278739733
4.225,-83.6974278573003
4.25,-83.6974278407576
4.275,-83.6974278243467
4.3,-83.6974278080689
4.325,-83.6974277919255
4.35,-83.6974277759172
4.375,-83.6974277600449
4.4,-83.6974277443093
4.425,-83.6974277287108
4.45,-83.6974277132497
4.475,-83.6974276979263
4.5,-83.6974276827407
4.525,-83.6974276676932
4.55,-83.6974276527842
4.575,-83.6974276380138
4.6,-83.6974276233819
4.625,-83.6974276088882
4.65,-83.6974275945327
4.675,-83.6974275803148
4.7,-83.6974275662346
4.725,-83.6974275522912
4.75,-83.6974275384839
4.775,-83.6974275248116
4.8,-83.6974275112741
4.825,-83.6974274978702
4.85,-83.6974274845994
4.875,-83.6974274714606
4.9,-83.6974274584534
4.925,-83.6974274455765
4.95,-83.6974274328302
4.975,-83.697427420213
5,-83.6974274077239
5.025,-83.6974273953611
5.05,-83.6974273831242
5.075,-83.6974273710112
5.1,-83.6974273590209
5.125,-83.6974273471515
5.15,-83.697427335402
5.175,-83.6974273237703
5.2,-83.6974273122555
5.225,-83.6974273008556
5.25,-83.6974272895707
5.275,-83.6974272783986
5.3,-83.6974272673381
5.325,-83.6974272563868
5.35,-83.6974272455434
5.375,-83.6974272348056
5.4,-83.6974272241733
5.425,-83.697427213644
5.45,-83.6974272032169
5.475,-83.6974271928896
5.5,-83.6974271826609
5.525,-83.6974271725285
5.55,-83.6974271624928
5.575,-83.6974271525511
5.6,-83.6974271427018
5.625,-83.6974271329421
5.65,-83.6974271232704
5.675,-83.6974271136843
5.7,-83.6974271041822
5.725,-83.697427094762
5.75,-83.6974270854238
5.775,-83.697427076165
5.8,-83.6974270669843
5.825,-83.6974270578791
5.85,-83.6974270488479
5.875,-83.6974270398881
5.9,-83.6974270309996
5.925,-83.6974270221797
5.95,-83.6974270134271
5.975,-83.697427004739
6,-83.6974269961141
6.025,-83.6974269875502
6.05,-83.6974269790471
6.075,-83.6974269706025
6.1,-83.6974269622148
6.125,-83.6974269538815
6.15,-83.6974269456012
6.175,-83.6974269373717
6.2,-83.6974269291927
6.225,-83.6974269210616
6.25,-83.6974269129769
6.275,-83.6974269049359
6.3,-83.6974268969371
6.325,-83.6974268889785
6.35,-83.6974268810586
6.375,-83.6974268731756
6.4,-83.6974268653298
6.425,-83.6974268575192
6.45,-83.6974268497426
6.475,-83.6974268419979
6.5,-83.6974268342838
6.525,-83.6974268265983
6.55,-83.6974268189415
6.575,-83.6974268113111
6.6,-83.6974268037057
6.625,-83.6974267961233
6.65,-83.6974267885627
6.675,-83.6974267810221
6.7,-83.6974267735017
6.725,-83.6974267659996
6.75,-83.6974267585145
6.775,-83.6974267510445
6.8,-83.6974267435887
6.825,-83.6974267361453
6.85,-83.6974267287133
6.875,-83.6974267212912
