0.00,0.00
0.05,0.00
0.10,0.00
0.15,0.00
0.20,0.00
0.25,0.00
0.30,0.00
0.35,0.00
0.40,0.00
0.45,0.00
0.50,0.00
0.55,0.00
0.60,0.00
0.65,0.00
0.70,0.00
0.75,0.00
0.80,0.00
0.85,0.00
0.90,0.00
0.95,0.00
1.00,0.00
1.05,0.00
1.10,0.00
1.15,0.00
1.20,0.00
1.25,0.00
1.30,0.00
1.35,0.00
1.40,0.00
1.45,0.00
1.50,0.00
1.55,0.00
1.60,0.00
1.65,0.00
1.70,0.00
1.75,0.00
1.80,0.00
1.85,0.00
1.90,0.00
1.95,0.00
2.00,0.00
2.05,0.00
2.10,0.00
2.15,0.00
2.20,0.00
2.25,0.00
2.30,0.00
2.35,0.00
2.40,0.00
2.45,0.00
2.50,0.00
2.55,0.00
2.60,0.00
2.65,0.00
2.70,0.00
2.75,0.00
2.80,0.00
2.85,0.00
2.90,0.00
2.95,0.00
3.00,0.00
3.05,0.00
3.10,0.00
3.15,0.00
3.20,0.00
3.25,0.00
3.30,0.00
3.35,0.00
3.40,0.00
3.45,0.00
3.50,0.00
3.55,0.00
3.60,0.00
3.65,0.00
3.70,0.00
3.75,0.00
3.80,0.00
3.85,0.00
3.90,0.00
3.95,0.00
4.00,0.00
4.05,0.00
4.10,0.00
4.15,0.00
4.20,0.00
4.25,0.00
4.30,0.00
4.35,0.00
4.40,0.00
4.45,0.00
4.50,0.00
4.55,0.00
4.60,0.00
4.65,0.00
4.70,0.00
4.75,0.00
4.80,0.00
4.85,0.00
4.90,0.00
4.95,0.00
5.00,0.00
5.05,0.00
5.10,0.00
5.15,0.00
5.20,0.00
5.25,0.00
5.30,0.00
5.35,0.00
5.40,0.00
5.45,0.00
5.50,0.00
5.55,0.00
5.60,0.00
5.65,0.00
5.70,0.00
5.75,0.00
5.80,0.00
5.85,0.00
5.90,0.00
5.95,0.00
6.00,0.00
6.05,0.00
6.10,0.00
6.15,0.00
6.20,0.00
6.25,0.00
6.30,0.00
6.35,0.00
6.40,0.00
6.45,0.00
6.50,0.00
6.55,0.00
6.60,0.00
6.65,0.00
6.70,0.00
6.75,0.00
6.80,0.00
6.85,0.00
6.90,0.00
6.95,0.00
7.00,0.00
7.05,0.00
7.10,0.00
7.15,0.00
7.20,0.00
7.25,0.00
7.30,0.00
7.35,0.00
7.40,0.00
7.45,0.00
7.50,0.00
7.55,0.00
7.60,0.00
7.65,0.00
7.70,0.00
7.75,0.00
7.80,0.00
7.85,0.00
7.90,0.00
7.95,0.00
8.00,0.00
8.05,0.00
8.10,0.00
8.15,0.00
8.20,0.00
8.25,0.00
8.30,0.00
8.35,0.00
8.40,0.00
8.45,0.00
8.50,0.00
8.55,0.00
8.60,0.00
8.65,0.00
8.70,0.00
8.75,0.00
8.80,0.00
8.85,0.00
8.90,0.00
8.95,0.00
9.00,0.00
9.05,0.00
9.10,0.00
9.15,0.00
9.20,0.00
9.25,0.00
9.30,0.00
9.35,0.00
9.40,0.00
9.45,0.00
9.50,0.00
9.55,0.00
9.60,0.00
9.65,0.00
9.70,0.00
9.75,0.00
9.80,0.00
9.85,0.00
9.90,0.00
9.95,0.00
10.00,0.00
10.05,0.45
10.10,0.90
10.15,1.35
10.20,1.80
10.25,2.25
10.30,2.70
10.35,3.15
10.40,3.60
10.45,4.05
10.50,4.50
10.55,4.95
10.60,5.40
10.65,5.85
10.70,6.30
10.75,6.75
10.80,7.20
10.85,7.65
10.90,8.10
10.95,8.55
11.00,9.00
11.05,9.45
11.10,9.90
11.15,10.35
11.20,10.80
11.25,11.25
11.30,11.70
11.35,12.15
11.40,12.60
11.45,13.05
11.50,13.50
11.55,13.95
11.60,14.40
11.65,14.85
11.70,15.30
11.75,15.75
11.80,16.20
11.85,16.65
11.90,17.10
11.95,17.55
12.00,18.00
12.05,18.45
12.10,18.90
12.15,19.35
12.20,19.80
12.25,20.25
12.30,20.70
12.35,21.15
12.40,21.60
12.45,22.05
12.50,22.50
12.55,22.95
12.60,23.40
12.65,23.85
12.70,24.30
12.75,24.75
12.80,25.20
12.85,25.65
12.90,26.10
12.95,26.55
13.00,27.00
13.05,27.45
13.10,27.90
13.15,28.35
13.20,28.80
13.25,29.25
13.30,29.70
13.35,30.15
13.40,30.60
13.45,31.05
13.50,31.50
13.55,31.95
13.60,32.40
13.65,32.85
13.70,33.30
13.75,33.75
13.80,34.20
13.85,34.65
13.90,35.10
13.95,35.55
14.00,36.00
14.05,36.45
14.10,36.90
14.15,37.35
14.20,37.80
14.25,38.25
14.30,38.70
14.35,39.15
14.40,39.60
14.45,40.05
14.50,40.50
14.55,40.95
14.60,41.40
14.65,41.85
14.70,42.30
14.75,42.75
14.80,43.20
14.85,43.65
14.90,44.10
14.95,44.55
15.00,45.00
15.05,45.45
15.10,45.90
15.15,46.35
15.20,46.80
15.25,47.25
15.30,47.70
15.35,48.15
15.40,48.60
15.45,49.05
15.50,49.50
15.55,49.95
15.60,50.40
15.65,50.85
15.70,51.30
15.75,51.75
15.80,52.20
15.85,52.65
15.90,53.10
15.95,53.55
16.00,54.00
16.05,54.45
16.10,54.90
16.15,55.35
16.20,55.80
16.25,56.25
16.30,56.70
16.35,57.15
16.40,57.60
16.45,58.05
16.50,58.50
16.55,58.95
16.60,59.40
16.65,59.85
16.70,60.30
16.75,60.75
16.80,61.20
16.85,61.65
16.90,62.10
16.95,62.55
17.00,63.00
17.05,63.45
17.10,63.90
17.15,64.35
17.20,64.80
17.25,65.25
17.30,65.70
17.35,66.15
17.40,66.60
17.45,67.05
17.50,67.50
17.55,67.95
17.60,68.40
17.65,68.85
17.70,69.30
17.75,69.75
17.80,70.20
17.85,70.65
17.90,71.10
17.95,71.55
18.00,72.00
18.05,72.45
18.10,72.90
18.15,73.35
18.20,73.80
18.25,74.25
18.30,74.70
18.35,75.15
18.40,75.60
18.45,76.05
18.50,76.50
18.55,76.95
18.60,77.40
18.65,77.85
18.70,78.30
18.75,78.75
18.80,79.20
18.85,79.65
18.90,80.10
18.95,80.55
19.00,81.00
19.05,81.45
19.10,81.90
19.15,82.35
19.20,82.80
19.25,83.25
19.30,83.70
19.35,84.15
19.40,84.60
19.45,85.05
19.50,85.50
19.55,85.95
19.60,86.40
19.65,86.85
19.70,87.30
19.75,87.75
19.80,88.20
19.85,88.65
19.90,89.10
19.95,89.55
20.00,90.00
20.05,90.00
20.10,90.00
20.15,90.00
20.20,90.00
20.25,90.00
20.30,90.00
20.35,90.00
20.40,90.00
20.45,90.00
20.50,90.00
20.55,90.00
20.60,90.00
20.65,90.00
20.70,90.00
20.75,90.00
20.80,90.00
20.85,90.00
20.90,90.00
20.95,90.00
21.00,90.00
21.05,90.00
21.10,90.00
21.15,90.00
21.20,90.00
21.25,90.00
21.30,90.00
21.35,90.00
21.40,90.00
21.45,90.00
21.50,90.00
21.55,90.00
21.60,90.00
21.65,90.00
21.70,90.00
21.75,90.00
21.80,90.00
21.85,90.00
21.90,90.00
21.95,90.00
22.00,90.00
22.05,90.00
22.10,90.00
22.15,90.00
22.20,90.00
22.25,90.00
22.30,90.00
22.35,90.00
22.40,90.00
22.45,90.00
22.50,90.00
